ID,Name,Description,damage,energy cost,attack effect,special values
68,Hyper Beam,Discard a random Energy from your opponent's Active Pokemon.,100,water:4,discard_opponent_energy,0|1
61,Surf,,90,water:3,,
64,Water Arrow,This attack does 50 damage to 1 of your opponent's Pokémon,0,water:3,damage_target,50|any
73,Blizzard,This attack also does 10 damage to each of your opponent's Benched Pokemon,80,water:3,damaged_benched_pokemon,10|0|enemy
54,Hydro Pump,"If this Pokemon has at least 2 extra Water Energy attached, this attack does 60 more damage.",80,water:2|normal:1,bonus_damage_with_bonus_energy,2|water|60
55,Hydro Bazooka,"If this Pokemon has at least 2 extra Water Energy attached, this attack does 60 more damage.",100,water:2|normal:1,bonus_damage_with_bonus_energy,2|water|60
62,Surf,,70,water:2|normal:1,,
63,KO Crab,"Flip 2 coins. If both of them are heads, this attack does 80 more damage.",80,water:2|normal:1,sum,80|2|exact
72,Ice Beam,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",60,water:2|normal:1,paralyze,1
57,Aqua Edge,,70,water:2,,
67,Hydro Splash,,90,water:2,,
59,Mega Punch,,80,water:1|normal:2,,
70,Bubble Drain,Heal 30 damage from this Pokemon.,60,water:1|normal:2,self_heal,30
71,Ancient Whirlpool,"During your opponent's next turn, the defending Pokemon can't attack.",70,water:1|normal:2,prevent_attack,0
53,Wave Splash,,40,water:1|normal:1,,
60,Poison Tentacles,Your opponent's Active Pokemon is now Poisoned.,50,water:1|normal:1,poison,10
76,Mist Splash,,60,water:1|normal:1,,
78,Second Strike,"If your opponent's Active Pokemon has damage on it, this attack does 60 more damage.",10,water:1|normal:1,bonus_damage_if_damaged,60|enemy
79,Powder Snow,Your opponent's Active Pokemon is now Asleep.,40,water:1|normal:1,sleep,
52,Water Gun,,20,water:1,,
65,Horn Hazard,"Flip a coin. If tails, this attack does nothing.",80,water:1,multiply,1
66,Wave Splash,,40,water:1,,
69,Hydro Pump,"If this Pokemon has at least 3 Water Energy attached, this attack does 70 more damage.",20,water:1,bonus_damage_with_bonus_energy,3|water|70
77,Rain Splash,,30,water:1,,
82,Circle Circuit,This attack does 30 damage for each of your Benched Electric Pokemon.,30,electric:2,multiply_benched,ally|electric
3,Mega Drain,Heal 30 damage from this Pokemon.,80,grass:2|normal:2,self_heal,30
4,Giant Bloom,Heal 30 damage from this Pokemon.,100,grass:2|normal:2,self_heal,30
13,Soothing Scent,Your oponent's Active Pokemon is now Asleep.,80,grass:2|normal:1,sleep,
15,Slash,,80,grass:2|normal:1,,
26,Double Horn,Flip 2 coins. This attack does 50 damage for each heads.,50,grass:2,multiply,2
30,Leaf Supply,Take 1 Grass Energy from your Energy Zone and attach it to 1 of your Benched Grass Pokemon.,50,grass:2,bonus_energy,1|bench|grass|grass
2,Razor Leaf,,60,grass:1|normal:2,,
7,Gust,,60,grass:1|normal:2,,
32,Razor Leaf,,70,grass:1|normal:2,,
1,Vine Whip,,40,grass:1|normal:1,,
12,Drool,,40,grass:1|normal:1,,
14,Scratch,,30,grass:1|normal:1,,
19,Razor Leaf,,40,grass:1|normal:1,,
20,Vine Whip,,60,grass:1|normal:1,,
24,Absorb,Heal 10 damage from this Pokemon.,40,grass:1|normal:1,self_heal,10
8,Sting,,20,grass:1,,
9,Bug Bite,,30,grass:1,,
10,Sharp Sting,,70,grass:1,,
11,Ram,,20,grass:1,,
16,Tackle,,20,grass:1,,
17,Poison Powder,Your opponent's Active Pokémon is now Poisoned,30,grass:1,poison,10
18,Vine Whip,,20,grass:1,,
21,Seed Bomb,,20,grass:1,,
22,Stomp,"Flip a coin. If heads, this attack does 30 more damage.",30,grass:1,sum,30|1|foreach
23,Tropical Swing,"Flip a coin. If heads, this attack does 40 more damage.",40,grass:1,sum,40|1|foreach
25,Sharp Scythe,,30,grass:1,,
29,Blot,Heal 10 damage from this Pokemon.,10,grass:1,self_heal,10
35,Fire Spin,Discard 2 Fire Energy from this Pokémon.,150,fire:2|normal:2,discard_energy,fire|2
36,Crimson Storm,Discard 2 Fire Energy from this Pokémon.,200,fire:2|normal:2,discard_energy,fire|2
40,Heat Tackle,This Pokémon also does 20 damage to itself.,100,fire:2|normal:1,damage_self,20
41,Inferno Crush,This Pokémon also does 20 damage to itself.,120,fire:2|normal:1,damage_self,20
38,Flamethrower,Discard a Fire Energy from this Pokémon.,90,fire:2,discard_energy,fire|1
44,Magma Punch,,50,fire:2,,
51,Fire Blast,Discard a Fire Energy from this Pokemon.,130,fire:1|normal:3,discard_energy,fire|1
34,Fire Claws,,60,fire:1|normal:2,,
45,Flamethrower,Discard a Fire Energy from this Pokemon.,110,fire:1|normal:2,discard_energy,fire|1
46,Sky Attack,"Flip a coin. If tails, this attack does nothing.",130,fire:1|normal:2,multiply,1
48,Heat Blast,,70,fire:1|normal:2,,
50,Fire Claws,,60,fire:1|normal:1,,
33,Ember,Discard a Fire Energy from this Pokémon.,30,fire:1,discard_energy,fire|1
42,Flare,,20,fire:1,,
43,Fire Mane,,40,fire:1,,
